Median normalized fluorescence intensity sk25_pgro7ara200_bta_13-completed.db cells with label 1
0.78
0.67
0.74
0.68
0.75
0.63
0.65
0.64
0.73
0.58
0.7
0.79
0.71
0.75
0.72
0.49
0.73
0.73
0.58
0.75
0.69
0.75
0.72
0.61
0.72
0.67
0.72
0.68
0.76
0.64
0.73
0.62
0.74
0.67
0.68
0.65
0.61
0.8
0.59
0.57
0.66
0.62
0.6
0.74
0.67
0.58
0.73
0.56
0.71
0.68
0.71
0.77
0.79
0.72
0.71
0.73
0.71
0.75
0.76
0.7
0.75
0.58
0.57
0.73
0.72
0.64
0.69
0.68
0.76
0.73
0.66
0.79
0.58
0.56
0.66
0.7
0.71
0.58
0.72
0.66
0.6
0.61
0.67
0.72
0.67
0.78
0.74
0.71
0.64
0.72
0.76
0.67
0.55
0.59
0.59
0.7
0.62
0.72
0.72
0.68
0.64
0.52
0.74
0.72
0.72
0.74
0.71
0.7
0.75
0.61
0.73
0.66
0.75
0.72
0.62
0.72
0.65
0.67
0.72
0.61
0.62
0.68
0.65
0.72
0.66
0.72
0.72
0.53
0.54
0.58
0.6
0.71
0.69
0.67
0.71
0.8
0.71
0.7
0.59
0.72
0.61
0.73
0.73
