Median normalized fluorescence intensity 398_bta_exp_1023-completed.db cells with label 1
0.82
0.74
0.75
0.79
0.8
0.81
0.8
0.76
0.76
0.77
0.75
0.79
0.76
0.78
0.77
0.77
0.77
0.77
0.77
0.78
0.76
0.79
0.75
0.74
0.8
0.75
0.72
0.78
0.75
0.74
0.72
0.72
0.75
0.74
0.74
0.78
0.77
0.74
0.81
0.74
0.79
0.73
0.77
0.76
0.81
0.77
0.74
0.79
0.78
0.8
0.76
0.72
