Median normalized fluorescence intensity p7_bta_15_1023-completed.db cells with label 2
0.76
0.74
0.68
0.69
0.74
0.75
0.75
0.71
0.72
0.7
0.7
0.71
0.71
0.69
0.7
0.75
0.72
0.72
0.73
0.76
