Median normalized fluorescence intensity sk394_bta_c-completed.db cells with label 1
0.74
0.72
0.71
0.7
0.72
0.68
0.69
0.73
0.71
0.66
0.71
0.73
0.67
0.75
0.74
0.72
0.7
0.68
0.73
0.71
0.71
0.69
0.67
0.73
0.7
0.73
0.73
0.7
0.73
0.75
0.74
0.71
0.73
0.72
0.73
0.72
0.73
0.71
0.7
0.69
0.71
0.7
0.69
0.7
0.69
0.74
0.72
0.7
0.73
0.7
0.69
0.72
0.71
0.74
0.73
0.71
0.75
0.67
0.71
0.71
0.7
0.76
0.72
0.8
0.74
0.72
0.74
0.71
0.69
0.72
0.73
0.72
0.71
0.69
0.73
0.72
0.66
0.73
0.71
0.71
0.73
0.71
0.72
0.67
0.71
0.75
0.72
0.73
0.71
0.72
0.67
0.71
