Median normalized fluorescence intensity sk402_005_bta_07-completed.db cells with label 1
0.7
0.75
0.71
0.68
0.74
0.69
0.68
0.68
0.68
0.74
0.75
0.75
0.72
0.66
0.7
0.67
0.71
0.7
0.71
0.71
0.74
0.68
0.69
0.73
0.66
0.66
0.69
0.74
0.68
0.73
0.73
0.73
0.64
0.68
0.69
0.68
0.72
0.76
0.67
0.73
0.68
0.75
0.65
0.66
0.75
0.72
0.72
0.69
0.62
0.72
0.69
0.63
0.69
0.68
0.72
0.71
0.75
0.71
0.73
0.74
0.68
0.73
0.72
0.7
0.67
0.67
0.73
0.68
0.68
0.69
0.65
0.69
0.72
0.51
0.68
0.65
0.72
0.74
0.71
0.74
0.68
0.7
0.76
0.69
0.71
0.71
0.75
0.73
0.72
0.71
0.72
0.68
0.7
0.71
0.7
0.7
0.69
0.67
0.7
0.74
0.67
0.67
0.71
0.66
0.72
0.69
0.7
0.72
0.67
0.68
0.73
0.79
0.69
0.68
0.72
0.75
0.74
0.7
0.64
0.67
0.69
0.63
0.72
0.59
0.75
0.69
0.74
0.72
0.67
0.66
0.7
0.73
0.69
0.69
0.65
0.69
0.7
0.68
0.72
0.67
0.63
0.66
0.69
0.66
0.7
0.68
0.71
0.68
0.7
0.69
0.68
0.67
0.69
0.66
0.71
0.74
0.78
0.74
0.72
0.74
0.74
0.71
0.68
0.59
0.74
0.7
0.68
0.67
0.7
0.71
0.7
0.58
0.72
0.73
0.7
0.71
0.65
0.67
0.57
0.66
0.69
0.72
0.76
0.7
0.69
0.68
0.69
0.67
0.68
0.74
0.7
0.68
0.65
0.6
0.75
0.69
0.68
0.69
0.74
0.7
0.67
0.69
0.66
0.71
0.69
0.61
0.78
0.7
0.71
0.64
0.69
0.67
0.71
0.71
0.66
0.7
0.61
0.68
0.67
0.68
0.67
0.65
0.73
0.69
0.67
0.53
0.76
0.69
0.77
0.62
0.68
0.74
0.69
0.74
0.72
0.72
0.7
0.73
0.73
0.72
0.63
0.66
0.74
0.7
0.67
0.69
0.7
0.66
0.66
0.69
0.71
0.68
0.71
0.65
0.67
0.67
0.64
0.78
0.69
0.68
0.76
0.72
0.67
0.69
0.69
0.68
0.73
0.64
0.71
0.67
0.74
0.69
0.71
0.67
0.71
0.68
0.7
0.67
0.72
0.61
0.74
0.69
0.66
0.66
0.71
0.74
0.66
0.7
0.72
0.69
0.73
0.68
0.65
0.71
0.66
0.7
0.64
0.72
0.62
0.7
0.74
0.73
0.76
0.72
0.77
0.66
0.69
0.66
0.68
0.73
0.68
0.7
0.67
0.7
0.7
0.64
0.71
0.72
0.74
0.69
0.7
0.73
0.7
0.68
0.78
0.69
0.69
0.66
0.67
0.65
0.58
0.69
0.68
0.76
0.66
0.72
