Median normalized fluorescence intensity p7_bta_0001-completed.db cells with label 1
0.84
0.8
0.75
0.78
0.78
0.78
0.8
0.78
0.78
0.81
0.79
0.77
0.79
0.78
0.8
0.81
0.8
0.76
0.81
0.82
0.78
0.82
0.79
0.8
0.82
0.8
0.79
0.81
0.79
0.77
0.81
0.79
0.8
0.81
0.79
0.74
0.77
0.79
0.78
0.79
0.76
0.81
0.78
0.75
0.81
0.81
0.78
0.8
0.77
0.77
0.72
0.76
0.78
0.8
0.79
0.78
0.75
0.74
