Median normalized fluorescence intensity sk394_bta_16_40ms-completed.db cells with label 1
0.65
0.54
0.76
0.72
0.61
0.53
0.7
0.74
0.66
0.74
0.67
0.72
0.67
0.65
0.51
0.72
0.74
0.68
0.51
0.59
0.65
0.55
0.65
0.76
0.73
0.64
0.67
0.69
0.56
0.73
0.71
0.72
0.66
0.6
0.54
0.71
0.49
0.51
0.7
0.69
0.53
0.68
0.68
0.6
0.49
0.6
0.68
0.58
0.65
0.52
0.59
0.73
0.66
0.7
0.66
0.65
0.56
0.68
0.7
0.68
0.59
0.71
0.61
0.58
0.74
0.71
0.62
0.67
0.58
0.7
0.61
0.51
0.64
0.66
0.57
0.61
0.65
0.67
0.65
0.76
0.51
0.73
0.71
0.69
0.52
0.55
0.48
0.72
0.74
0.7
0.71
0.74
0.65
0.68
0.72
0.7
0.67
0.73
0.51
0.5
0.67
0.67
0.69
0.59
0.56
0.7
0.67
0.69
0.72
0.54
0.65
0.7
0.74
0.63
0.68
0.68
0.72
0.61
0.51
0.59
0.53
0.61
0.7
0.73
0.53
0.66
0.57
0.6
0.59
0.72
0.68
0.72
0.54
0.51
0.79
0.66
