Median normalized fluorescence intensity p7_bta_exp_1023-completed.db cells with label 1
0.85
0.8
0.81
0.78
0.72
0.68
0.75
0.75
0.71
0.74
0.74
0.72
0.77
0.7
0.73
0.77
0.72
0.72
0.7
0.76
0.7
0.72
0.76
0.78
0.76
0.76
0.75
0.74
0.74
0.76
0.75
0.73
0.73
0.74
0.72
0.74
0.78
0.77
0.75
0.71
0.68
0.77
0.71
0.7
0.72
0.79
0.74
0.72
0.72
0.7
0.78
0.71
0.74
0.75
0.69
0.77
0.76
0.76
0.73
0.77
0.71
0.79
0.73
0.75
0.8
0.7
0.78
0.73
0.73
