Median normalized fluorescence intensity p7_bta_exp_1007-completed.db cells with label 1
0.81
0.76
0.77
0.78
0.77
0.78
0.78
0.77
0.77
0.77
0.79
0.76
0.75
0.76
0.79
0.72
0.75
0.79
0.78
0.76
0.8
0.77
0.81
0.74
0.75
0.77
0.75
0.78
0.75
0.72
0.78
0.75
0.76
0.75
0.76
0.77
0.74
0.8
0.76
0.78
0.77
0.78
0.74
0.78
0.78
0.78
0.76
0.75
0.76
0.75
0.74
0.74
0.79
0.8
0.77
0.76
0.76
0.75
0.79
0.77
0.77
0.8
0.78
0.76
0.8
