Median normalized fluorescence intensity p7ara_bta_exp_1111-completed.db cells with label 1
0.77
0.75
0.77
0.78
0.79
0.74
0.78
0.79
0.78
0.76
0.76
0.77
0.76
0.72
0.78
0.74
0.79
0.76
0.82
0.78
0.75
0.73
0.78
0.79
0.79
0.76
0.74
0.78
0.79
0.75
0.75
0.79
0.78
0.8
0.76
0.82
0.75
0.78
0.77
0.79
0.75
0.77
0.76
0.74
0.81
0.75
0.75
0.73
0.75
0.75
0.78
0.78
0.73
0.8
0.77
0.8
0.76
0.75
0.75
0.76
0.77
0.77
0.77
0.79
0.78
0.74
0.74
0.79
0.82
0.8
0.79
0.74
0.81
0.79
0.79
0.81
0.76
0.8
0.76
0.76
0.76
0.79
0.77
0.83
0.75
0.79
0.85
0.81
0.78
0.78
0.82
0.7
0.74
0.74
0.77
0.75
0.74
0.77
0.8
0.78
0.75
0.74
0.72
0.79
0.77
0.77
0.75
0.72
0.79
0.72
0.76
0.76
0.78
0.78
0.76
0.75
0.75
0.75
0.79
0.77
0.74
