Median normalized fluorescence intensity sk398_01_bta_0001-completed.db cells with label 1
0.74
0.7
0.64
0.78
0.79
0.78
0.81
0.82
0.79
0.75
0.77
0.77
0.79
0.76
0.82
0.79
0.76
0.78
0.75
0.77
0.8
0.82
0.8
0.79
0.72
0.77
0.69
0.74
0.73
0.7
0.8
0.73
0.74
0.75
0.71
0.75
0.75
0.68
0.71
0.69
0.7
0.69
0.74
0.76
0.76
0.78
0.78
0.77
0.75
0.81
0.77
0.74
0.75
0.73
0.68
0.69
0.71
0.75
0.75
0.67
0.69
0.7
0.67
0.72
0.79
0.78
0.8
0.78
0.72
0.77
0.73
0.77
0.74
0.76
0.74
0.78
0.72
0.79
0.76
0.72
0.72
0.72
0.77
0.81
0.76
0.75
0.79
0.77
0.74
0.78
0.76
0.78
0.77
0.74
0.75
0.82
0.78
0.77
0.74
0.82
0.75
0.75
0.77
0.74
0.74
0.77
0.82
0.82
0.78
0.75
0.75
0.79
0.77
0.79
0.75
0.8
0.77
0.75
0.76
0.72
0.79
0.76
0.73
0.79
0.76
0.71
0.76
0.76
0.73
0.66
0.76
0.72
0.76
0.7
0.73
0.76
0.73
0.77
0.76
0.72
0.78
0.73
0.75
0.7
0.75
0.77
0.7
0.71
0.73
0.74
0.73
0.75
0.79
0.78
0.78
0.78
0.72
0.73
0.73
0.72
0.78
0.73
0.77
0.76
0.75
0.79
0.72
0.73
0.74
0.78
0.74
0.71
0.7
0.71
0.71
0.67
0.67
0.77
0.81
0.78
0.7
0.72
0.81
0.81
0.81
0.8
0.73
0.78
0.79
0.79
0.74
0.79
0.79
0.79
0.75
0.72
0.79
0.79
0.79
0.79
0.8
0.79
0.79
0.77
0.78
0.76
0.79
0.78
0.78
0.82
0.77
0.74
