Median normalized fluorescence intensity sk25_bta_FITC_c-completed.db cells with label 1
0.68
0.67
0.68
0.69
0.75
0.68
0.67
0.65
0.66
0.72
0.66
0.66
0.68
0.68
0.68
0.68
0.65
0.64
0.68
0.65
0.66
0.63
0.66
0.68
0.71
0.66
0.68
0.66
0.71
0.73
0.7
0.7
0.69
0.7
0.68
0.7
0.71
0.66
0.68
0.68
0.68
0.66
0.53
0.68
0.7
0.72
0.75
0.7
0.65
0.64
0.66
0.7
0.71
0.69
0.66
0.66
0.68
0.68
0.71
0.69
0.69
0.7
0.7
0.67
0.7
