Median normalized fluorescence intensity sk398_bta_15_40ms-completed.db cells with label 1
0.71
0.67
0.67
0.76
0.77
0.65
0.68
0.68
0.64
0.58
0.69
0.73
0.75
0.75
0.73
0.6
0.69
0.6
0.66
0.54
0.69
0.67
0.61
0.55
0.64
0.7
0.77
0.73
0.75
0.69
0.65
0.63
0.68
0.71
0.5
0.67
0.72
0.54
0.58
0.7
0.69
0.79
0.74
0.75
0.6
0.73
0.7
0.66
0.78
0.68
0.67
0.82
0.71
0.67
0.73
0.78
0.58
0.59
0.67
0.62
0.7
0.49
0.61
0.67
0.73
0.79
0.66
0.64
0.69
0.63
0.78
0.63
0.69
0.71
0.73
0.67
0.69
0.69
0.7
0.74
0.76
0.75
0.73
0.71
0.74
0.56
0.73
0.69
0.72
0.65
0.75
0.73
0.75
0.56
0.61
0.63
0.73
0.69
0.59
0.61
0.62
0.65
0.77
0.77
0.58
0.72
0.62
0.64
0.74
0.59
0.66
0.7
0.75
0.61
0.67
0.82
0.63
0.73
0.74
0.66
0.73
0.68
0.73
0.71
0.62
0.72
0.67
0.73
0.73
0.63
0.53
0.73
0.7
0.78
0.63
0.74
0.73
0.74
0.72
0.79
0.59
0.72
0.71
0.71
0.68
0.6
0.63
0.7
0.72
0.75
0.66
0.52
0.77
0.61
0.62
0.74
0.7
0.73
0.67
0.77
0.69
0.72
0.67
0.63
0.68
0.53
0.73
0.48
0.73
0.7
0.66
0.61
0.78
0.67
0.69
0.71
0.77
0.59
0.57
0.67
0.76
0.67
0.53
0.62
0.64
0.6
0.63
0.7
0.72
