Median normalized fluorescence intensity pg8_bta_07001-completed.db cells with label 1
0.73
0.75
0.71
0.73
0.75
0.75
0.69
0.77
0.69
0.66
0.7
0.77
0.76
0.79
0.53
0.77
0.55
0.74
0.7
0.62
0.72
0.73
0.53
0.56
0.76
0.49
0.63
0.75
0.65
0.74
0.67
0.77
0.72
0.71
0.71
0.78
0.75
0.72
0.74
0.76
0.7
0.79
0.75
0.73
0.77
0.74
0.74
0.46
0.78
0.76
0.79
0.72
0.68
0.74
0.72
0.7
0.65
0.7
0.78
0.73
0.77
0.76
0.72
0.76
0.68
0.67
0.59
0.68
0.7
0.7
0.71
0.71
0.78
0.69
0.69
0.59
0.75
0.73
0.71
0.69
0.71
0.69
0.72
0.73
0.76
0.74
0.78
0.74
0.73
0.7
0.69
0.75
0.74
0.74
0.7
0.75
0.78
0.78
0.76
0.78
0.76
0.77
0.77
0.64
0.73
0.73
0.73
0.76
0.75
0.78
0.76
0.75
0.74
0.75
0.73
0.71
0.73
0.77
0.7
0.66
0.76
0.78
0.73
0.75
0.72
0.79
0.76
0.74
0.74
0.71
0.7
