Median normalized fluorescence intensity pg8_bta_0001-completed.db cells with label 1
0.84
0.75
0.8
0.8
0.8
0.78
0.83
0.85
0.81
0.82
0.8
0.81
0.82
0.72
0.72
0.73
0.73
0.82
0.82
0.81
0.8
0.78
0.83
0.81
0.75
0.79
0.79
0.82
0.82
0.76
0.85
0.8
0.81
0.82
0.81
0.8
0.8
0.79
0.84
0.77
0.8
0.8
0.83
0.81
0.84
0.82
0.81
0.79
0.8
0.83
0.81
0.79
0.78
0.69
0.78
0.82
