Median normalized fluorescence intensity sk25_pgro7ara200_bta_1-completed.db cells with label 1
0.66
0.76
0.67
0.74
0.74
0.71
0.73
0.66
0.71
0.78
0.72
0.74
0.68
0.72
0.76
0.74
0.73
0.55
0.69
0.67
0.57
0.72
0.68
0.72
0.75
0.68
0.71
0.7
0.72
0.72
0.58
0.71
0.72
0.76
0.71
0.76
0.72
0.65
0.62
0.71
0.75
0.64
0.74
0.71
0.78
0.5
0.76
0.72
0.76
0.79
0.74
0.72
0.62
0.73
0.68
0.7
0.69
0.74
0.63
0.67
0.66
0.75
0.72
0.7
0.74
0.63
0.62
0.7
0.76
0.71
0.77
0.73
0.72
0.72
0.74
0.74
0.7
0.67
0.71
0.72
0.77
0.69
0.7
0.79
0.76
0.6
0.7
0.57
0.74
0.76
0.66
0.75
0.71
0.69
0.72
0.76
0.71
0.7
0.69
0.64
0.74
0.69
0.71
0.76
0.69
0.53
0.75
0.73
0.72
