Median normalized fluorescence intensity p7ara_bta_18_1111-completed.db cells with label 1
0.72
0.65
0.77
0.71
0.71
0.59
0.66
0.68
0.62
0.65
0.69
0.65
0.6
0.69
0.72
0.68
0.67
0.73
0.54
0.67
0.56
0.56
0.64
0.56
0.66
0.65
0.63
0.71
0.65
0.63
0.54
0.71
0.7
0.52
0.78
0.68
0.66
0.68
0.65
0.64
0.71
0.77
0.63
0.76
0.64
0.79
0.78
0.71
0.67
0.68
0.67
0.64
0.57
0.77
0.81
0.63
0.62
0.66
0.51
0.62
0.65
0.7
0.68
0.6
0.55
0.65
0.58
0.55
0.66
0.58
0.62
0.66
0.59
0.76
0.56
0.59
0.66
0.69
0.62
0.65
0.8
0.73
0.8
0.78
0.7
0.72
0.57
0.62
0.73
0.8
0.69
0.73
0.74
0.58
0.58
0.69
0.67
0.75
0.7
0.69
0.65
0.79
0.65
0.69
0.63
0.69
0.66
0.63
0.55
0.63
0.59
0.65
0.74
0.76
0.68
0.7
0.69
0.69
0.73
0.58
0.73
0.62
0.75
0.71
0.55
0.75
0.66
0.57
0.62
0.58
0.59
0.62
0.7
0.66
0.56
0.76
0.78
0.69
0.55
0.6
0.78
0.73
0.64
0.72
0.62
0.72
0.7
0.73
0.72
0.64
0.73
0.73
