Median normalized fluorescence intensity sk398_01_bta_exp-completed.db cells with label 1
0.63
0.71
0.73
0.75
0.72
0.71
0.75
0.78
0.67
0.73
0.72
0.71
0.77
0.75
0.73
0.74
0.76
0.75
0.73
0.67
0.67
0.67
0.7
0.63
0.7
0.7
0.71
0.67
0.71
0.65
0.75
