Median normalized fluorescence intensity 398_bta_18_1023-completed.db cells with label 2
0.7
0.75
0.69
0.71
0.71
0.71
0.72
0.7
0.71
0.78
0.67
0.72
0.67
0.68
0.69
0.68
0.68
0.7
0.76
0.67
0.71
0.69
0.68
0.71
0.7
0.74
0.69
0.64
0.78
0.69
0.66
0.71
0.74
0.7
0.7
0.67
0.7
0.71
