Median normalized fluorescence intensity 398_bta_18_1111-completed.db cells with label 1
0.58
0.6
0.7
0.63
0.73
0.67
0.72
0.64
0.62
0.64
0.68
0.63
0.55
0.58
0.64
0.6
0.56
0.63
0.63
0.55
0.6
0.66
0.59
0.65
0.7
0.71
0.69
0.68
0.57
0.64
0.65
0.65
0.66
0.58
0.63
0.64
0.6
0.63
0.65
0.68
0.57
0.66
0.7
0.57
0.61
0.61
0.57
0.71
0.62
0.61
0.63
0.63
0.63
0.59
0.65
0.62
0.61
0.66
0.58
0.59
0.57
0.62
0.6
0.61
0.58
0.59
0.63
0.58
0.55
0.65
0.65
0.59
0.7
0.6
0.59
0.51
0.63
0.64
0.59
0.68
0.58
0.64
0.55
0.61
0.57
0.6
0.6
0.63
0.63
0.56
0.6
0.67
0.55
0.62
0.58
0.63
0.61
0.55
0.57
0.57
0.71
0.64
0.57
0.61
0.58
0.65
0.67
0.67
0.63
0.57
0.64
0.57
0.53
0.62
0.56
0.55
0.64
0.64
0.57
0.64
0.56
0.54
0.55
0.63
0.6
0.67
0.55
0.6
0.63
0.61
0.62
0.61
0.64
0.69
0.69
0.64
0.63
0.62
0.56
0.63
0.61
0.67
0.69
0.65
0.64
0.58
0.53
0.56
0.54
0.63
0.55
0.61
0.59
0.66
0.66
0.6
0.52
0.59
0.55
0.57
0.61
0.57
0.6
0.63
0.65
0.59
0.52
0.59
0.64
0.51
0.54
0.63
0.66
0.54
