Median normalized fluorescence intensity sk394_bta_17-completed.db cells with label 1
0.65
0.48
0.67
0.66
0.63
0.64
0.65
0.65
0.54
0.59
0.52
0.71
0.59
0.65
0.63
0.61
0.58
0.56
0.57
0.56
0.6
0.56
0.73
0.58
0.71
0.63
0.64
0.62
0.69
0.6
0.59
0.53
0.59
0.78
0.66
0.65
0.57
0.58
0.57
0.62
0.71
0.61
0.68
0.59
0.58
0.6
0.6
0.63
0.63
0.63
0.64
0.51
0.63
0.57
0.54
0.58
0.51
0.54
0.54
0.64
0.56
0.71
0.68
0.71
0.56
0.65
0.58
0.66
0.64
0.7
0.69
0.53
0.66
0.7
0.67
0.63
0.74
0.56
0.63
0.46
0.7
0.53
0.68
0.63
0.64
0.72
0.65
0.69
0.55
0.71
0.66
0.56
0.62
0.61
0.65
0.65
0.71
0.65
0.68
0.67
0.72
0.64
0.6
0.58
0.68
0.56
0.76
0.67
0.58
0.66
0.69
0.66
0.71
0.69
0.55
0.67
0.63
0.71
0.6
0.74
0.67
0.64
0.62
0.56
0.7
0.72
0.57
0.61
0.69
0.63
0.66
0.69
0.65
0.55
0.61
0.57
0.71
0.55
0.64
0.64
0.72
0.66
0.73
0.6
0.68
0.67
0.66
0.59
0.62
0.6
0.64
0.73
0.69
0.6
0.54
0.72
0.6
0.55
0.74
0.58
0.72
0.69
0.64
0.59
0.7
0.6
0.65
0.56
0.62
0.68
0.62
0.77
0.68
0.53
0.56
0.62
0.67
0.64
0.57
0.7
0.71
0.57
0.58
0.7
0.57
0.51
0.7
0.65
