Median normalized fluorescence intensity p7ara_bta_1_1111-completed.db cells with label 1
0.62
0.49
0.81
0.72
0.59
0.53
0.55
0.59
0.67
0.66
0.57
0.7
0.51
0.64
0.56
0.73
0.61
0.63
0.63
0.51
0.61
0.66
0.68
0.48
0.53
0.51
0.6
0.63
0.68
0.71
0.54
0.6
0.51
0.63
0.62
0.56
0.57
0.63
0.6
0.61
0.67
0.57
0.67
0.66
0.57
0.63
0.6
0.59
0.75
0.6
0.72
0.61
0.63
0.7
0.58
0.57
0.78
0.64
0.54
0.56
0.66
0.58
0.6
0.59
0.63
0.6
0.62
0.67
0.63
0.58
0.54
0.67
0.5
0.57
0.63
0.68
0.59
0.59
0.56
0.7
0.64
0.51
0.61
0.67
0.69
0.65
0.49
0.7
0.68
0.64
0.62
0.77
0.49
0.59
0.58
0.68
0.52
0.59
0.83
0.52
0.69
0.71
0.49
0.67
0.83
0.62
0.77
0.69
0.54
0.75
0.69
0.7
0.66
0.49
0.66
0.67
0.51
0.59
0.5
0.72
0.58
0.64
0.79
0.68
0.5
0.6
0.55
0.75
0.65
0.6
0.38
0.53
0.54
0.65
0.66
0.64
0.64
0.68
0.67
0.56
0.7
0.58
0.66
0.51
0.73
0.6
0.69
0.69
0.66
0.52
0.74
0.58
0.56
0.62
0.71
0.73
0.51
0.7
0.6
0.63
0.63
0.65
0.67
0.57
0.52
0.55
0.67
0.39
0.59
0.61
0.67
0.68
0.66
0.55
0.62
0.59
0.56
0.61
0.72
0.66
0.63
0.66
0.67
0.59
0.61
0.63
0.7
0.6
0.67
0.69
0.62
0.64
0.63
0.66
0.73
0.6
0.59
0.75
0.7
0.51
0.63
0.65
0.52
0.57
0.56
0.71
0.57
0.69
0.65
0.65
0.62
0.62
0.6
0.61
0.64
0.7
0.62
0.63
0.59
0.69
0.62
0.63
0.52
0.67
0.63
0.73
0.62
0.58
0.5
0.61
0.65
0.5
0.76
0.78
0.5
0.56
0.54
0.61
0.78
0.6
0.66
0.56
0.64
0.67
0.68
0.66
0.69
0.74
0.68
0.63
0.54
0.64
0.54
0.53
0.64
0.65
0.67
0.73
0.67
0.57
0.55
0.66
0.7
0.59
0.76
0.59
0.54
0.64
0.61
0.67
0.63
0.72
0.67
0.68
0.68
0.72
0.66
0.65
0.69
0.57
0.7
0.44
0.58
0.55
0.66
0.44
0.63
0.71
0.62
0.61
0.7
0.55
0.59
0.63
0.62
0.73
0.72
0.59
0.72
0.68
0.6
0.5
0.69
0.73
0.62
0.7
0.79
0.62
0.57
0.62
0.49
0.63
0.6
0.73
0.71
0.67
0.56
0.68
0.5
0.79
0.65
0.52
0.62
0.64
0.64
0.6
0.56
0.7
0.54
0.62
0.57
0.68
0.58
0.6
0.59
0.59
0.63
0.6
0.64
0.62
0.56
0.62
0.47
0.64
0.68
0.58
0.61
0.62
0.61
0.6
0.63
0.47
0.47
0.64
0.62
0.62
0.56
0.6
0.77
0.72
0.67
0.62
0.59
0.64
0.66
0.6
0.65
0.63
0.76
0.67
0.69
0.65
0.71
0.8
0.56
0.56
0.59
0.74
0.61
0.51
0.63
0.61
0.63
0.56
0.57
0.67
0.62
0.45
0.65
0.62
0.55
0.66
0.62
0.56
0.73
0.47
0.75
0.45
0.53
0.6
0.62
0.59
0.62
0.56
0.57
0.59
0.56
0.5
0.6
0.55
0.72
0.6
0.59
0.43
0.54
0.76
0.57
0.52
0.65
0.55
0.71
0.71
0.61
0.7
0.58
0.53
0.63
0.53
0.59
0.64
0.64
0.64
0.5
0.48
0.76
0.63
0.74
0.59
0.8
0.4
0.58
0.63
0.61
0.64
0.66
0.78
0.68
0.44
0.61
0.61
0.64
0.68
0.78
0.71
0.59
0.75
0.81
0.71
0.5
0.55
0.65
0.59
0.52
0.72
0.58
0.71
0.55
0.65
0.5
0.66
0.62
0.67
0.7
0.72
0.65
0.77
0.62
0.61
0.71
0.5
0.62
0.65
0.59
0.52
0.62
0.56
0.58
0.36
0.53
0.58
0.76
0.61
0.58
0.74
0.67
0.6
0.68
0.57
0.53
0.74
0.63
0.6
0.66
0.71
0.66
0.57
0.61
0.59
0.54
0.55
0.65
0.8
0.61
0.55
0.64
0.57
0.51
0.5
0.63
0.65
0.6
0.61
0.59
0.62
0.58
0.71
0.43
0.46
0.62
0.67
0.54
0.64
0.54
0.59
0.59
0.51
0.59
0.7
0.44
0.53
0.59
0.57
0.57
0.59
0.62
0.55
0.58
0.68
0.55
0.49
0.49
0.64
0.68
0.7
0.62
0.57
0.57
0.79
0.62
0.59
0.59
0.51
0.57
0.67
0.7
0.64
0.62
0.7
0.69
0.61
0.53
0.66
0.64
0.56
0.68
0.63
0.59
0.7
0.54
0.66
0.56
0.61
0.61
0.59
0.59
0.62
0.62
