Median normalized fluorescence intensity p7_bta_18_1009-completed.db cells with label 1
0.65
0.65
0.63
0.53
0.65
0.6
0.61
0.65
0.64
0.62
0.47
0.7
0.65
0.61
0.6
0.64
0.62
0.64
0.6
0.53
0.58
0.58
0.65
0.62
0.61
0.56
0.57
0.66
0.57
0.56
0.63
0.68
0.6
0.62
0.57
0.64
0.56
0.63
0.63
0.61
0.65
0.61
0.63
0.61
0.67
0.64
0.59
0.63
0.53
0.62
0.66
0.65
0.65
0.54
0.54
0.62
0.59
0.59
0.51
0.63
0.59
0.58
0.67
0.67
0.64
0.61
0.62
0.63
0.6
0.64
0.64
0.62
0.61
0.6
0.65
0.62
0.53
0.61
0.67
0.65
0.66
0.55
0.53
0.62
0.57
0.58
0.57
0.57
0.64
0.6
0.67
0.55
0.6
0.6
0.68
0.57
0.62
0.64
0.57
0.57
0.64
0.66
0.49
0.57
0.67
0.65
0.56
0.65
0.56
0.66
0.63
0.64
0.61
0.62
0.57
0.61
0.51
0.61
0.62
0.55
0.67
0.65
0.58
0.63
0.68
0.64
0.6
0.53
0.54
0.55
0.51
0.6
0.47
0.55
0.65
0.6
0.61
0.54
0.64
0.6
0.64
0.56
0.66
0.6
0.67
0.64
0.63
0.7
0.55
0.62
0.68
0.59
0.61
0.59
0.62
0.65
0.63
0.68
0.58
0.57
0.58
0.62
0.59
0.66
0.59
0.61
0.55
0.6
0.65
0.67
0.57
0.64
0.68
0.56
0.54
0.45
0.58
0.66
0.65
0.67
0.54
0.64
0.6
0.61
0.54
0.56
0.59
0.64
0.56
0.63
0.57
0.66
0.65
0.61
0.64
0.57
0.61
0.64
0.68
0.59
0.65
0.65
0.59
0.59
0.61
0.63
0.61
0.65
0.64
0.65
0.64
0.6
0.64
0.58
0.6
0.64
0.69
0.55
0.48
0.6
0.66
0.62
0.68
0.6
0.6
0.56
0.58
0.62
0.62
0.65
0.59
