Median normalized fluorescence intensity p7_bta_18_1111-completed.db cells with label 1
0.65
0.69
0.53
0.59
0.61
0.68
0.64
0.51
0.6
0.65
0.58
0.65
0.68
0.68
0.62
0.69
0.55
0.65
0.6
0.66
0.58
0.7
0.58
0.66
0.49
0.54
0.67
0.64
0.62
0.53
0.58
0.57
0.59
0.52
0.54
0.67
0.59
0.61
0.58
0.56
0.64
0.6
0.65
0.6
0.6
0.63
0.61
0.72
0.61
0.66
0.62
0.63
0.63
0.7
0.73
0.66
0.59
0.58
0.63
0.66
0.61
0.64
0.76
0.66
0.65
0.69
0.66
0.61
0.63
0.59
0.59
0.61
0.64
0.63
0.55
0.62
0.64
0.61
0.55
0.57
0.53
0.56
0.61
0.58
0.61
0.57
0.71
0.65
0.58
0.59
0.62
0.65
0.7
0.6
0.7
0.62
0.59
0.64
0.61
0.61
0.58
0.63
0.72
0.63
0.55
0.69
0.59
0.65
0.68
0.63
0.59
0.65
0.64
0.59
0.7
0.62
0.56
0.59
0.6
0.7
0.67
0.6
0.61
0.64
0.61
0.57
0.59
0.6
0.63
0.58
0.63
0.63
0.54
0.7
0.57
0.62
0.62
0.68
0.63
0.64
0.64
0.61
0.59
0.62
0.57
0.54
0.65
0.64
0.67
0.56
0.68
0.59
0.6
0.64
0.5
0.65
0.65
0.61
0.58
0.56
0.56
0.64
0.68
0.7
0.58
0.57
0.65
0.57
0.54
0.53
0.63
0.67
0.62
0.61
0.65
0.59
0.65
0.51
0.55
0.62
0.58
0.66
0.59
0.61
0.64
0.63
0.63
0.73
0.66
0.72
0.73
0.6
0.68
0.59
0.69
0.72
0.66
0.57
0.55
0.63
0.72
0.62
0.65
0.68
0.73
0.6
0.58
0.57
