Median normalized fluorescence intensity p7_bta_10001-completed.db cells with label 1
0.82
0.68
0.73
0.76
0.71
0.74
0.73
0.75
0.76
0.77
0.79
0.77
0.79
0.77
0.78
0.78
0.74
0.75
0.76
0.78
0.76
0.77
0.76
0.75
0.78
0.73
0.76
0.71
0.79
0.75
0.78
0.79
0.74
0.77
0.73
0.76
0.8
0.69
0.82
0.76
0.78
0.73
0.77
0.74
0.74
0.74
0.52
0.74
0.69
0.76
0.78
0.8
0.78
0.74
0.62
0.81
0.7
0.75
0.73
0.75
0.77
0.76
0.71
0.77
0.81
0.42
0.78
0.71
0.79
0.72
0.73
0.71
0.71
0.63
0.6
0.77
0.76
0.68
0.73
0.57
0.73
0.79
0.73
0.73
0.74
0.75
0.74
0.74
0.75
0.75
0.67
