Median normalized fluorescence intensity sk398_bta_19-completed.db cells with label 1
0.73
0.59
0.61
0.62
0.56
0.62
0.57
0.56
0.52
0.64
0.55
0.65
0.57
0.54
0.61
0.65
0.62
0.67
0.67
0.54
0.45
0.58
0.64
0.64
0.66
0.56
0.58
0.55
0.66
0.66
0.56
0.71
0.49
0.51
0.57
0.64
0.6
0.69
0.65
0.59
0.56
0.57
0.57
0.61
0.65
0.49
0.5
0.5
0.61
0.57
0.66
0.61
0.53
0.61
0.68
0.53
0.72
0.6
0.52
0.56
0.58
0.65
0.6
0.52
0.57
0.61
0.61
0.6
0.51
0.65
0.67
0.64
0.58
0.55
0.58
0.54
0.61
0.54
0.53
0.6
0.65
0.67
0.61
0.51
0.65
0.65
0.53
0.6
0.49
0.58
0.54
0.41
0.71
0.6
0.67
0.66
0.65
0.64
0.59
0.56
0.66
0.54
0.59
0.65
0.63
0.65
0.71
0.7
0.49
0.51
0.59
0.44
0.57
0.65
0.62
0.61
0.61
0.44
0.51
0.61
0.63
0.57
0.66
0.57
0.6
0.59
0.62
0.59
0.56
0.53
0.58
0.66
0.65
0.58
0.56
0.67
0.61
0.56
0.57
0.51
0.56
0.62
0.45
0.57
0.58
0.54
0.55
0.51
0.7
0.56
0.62
0.53
0.62
0.56
0.56
0.68
0.67
0.58
0.58
0.65
0.55
0.6
0.57
0.67
0.57
0.58
0.51
0.62
0.66
0.64
0.63
0.62
0.67
0.55
0.54
0.6
0.56
0.55
0.56
0.63
0.61
0.55
0.67
0.61
0.59
0.53
0.63
0.7
0.63
0.62
0.73
0.66
0.63
0.59
0.5
0.6
0.61
