Median normalized fluorescence intensity sk25_pgro7ara200_bta_07-completed.db cells with label 1
0.7
0.75
0.57
0.73
0.61
0.75
0.72
0.74
0.77
0.75
0.77
0.73
0.72
0.78
0.74
0.71
0.72
0.74
0.65
0.77
0.67
0.71
0.69
0.73
0.77
0.7
0.7
0.72
0.76
0.78
0.62
0.58
0.71
0.66
0.61
0.72
0.71
0.66
0.58
0.81
0.77
0.72
0.6
0.75
0.6
0.72
0.71
0.75
0.75
0.57
0.75
0.77
0.76
0.77
0.75
0.74
0.7
0.7
0.74
0.75
0.74
0.71
0.75
0.63
0.71
0.77
0.71
0.74
0.68
0.7
0.76
0.7
0.72
0.73
0.74
0.72
0.73
0.69
0.76
0.73
0.78
0.74
0.71
0.75
0.72
0.66
0.77
0.74
0.69
0.74
0.65
0.75
0.74
0.7
0.71
0.76
0.73
0.7
0.69
0.76
0.72
0.8
0.74
0.76
0.73
0.7
0.73
0.76
0.77
0.68
0.76
0.74
0.77
0.86
0.8
0.72
0.75
0.73
0.75
0.65
0.76
0.82
0.82
0.82
0.8
0.75
0.74
0.74
0.78
0.79
0.67
0.74
0.75
0.75
0.77
0.75
0.75
0.81
0.76
0.69
0.71
0.77
0.76
0.76
0.72
0.69
0.78
0.79
0.72
0.71
0.67
0.72
0.75
0.68
0.77
0.74
0.73
0.73
0.75
0.75
0.76
0.79
0.78
0.79
0.72
0.76
0.79
0.79
