Median normalized fluorescence intensity p7_bta_07-completed.db cells with label 1
0.8
0.71
0.78
0.79
0.76
0.75
0.73
0.72
0.74
0.69
0.69
0.78
0.78
0.72
0.77
0.68
0.73
0.69
0.78
0.74
0.74
0.78
0.71
