Median normalized fluorescence intensity p7_bta_exp_1015-completed.db cells with label 1
0.79
0.76
0.77
0.74
0.75
0.76
0.8
0.75
0.78
0.77
0.73
0.71
0.77
0.73
0.75
0.75
0.77
0.71
0.8
0.73
0.74
0.71
0.77
0.78
0.74
0.75
0.77
0.75
0.77
0.77
0.74
0.71
0.74
0.76
0.73
0.76
0.74
0.74
0.72
0.77
0.77
0.74
0.75
0.74
0.73
0.79
0.76
