Median normalized fluorescence intensity pg8_bta_10-completed.db cells with label 1
0.73
0.74
0.72
0.72
0.74
0.58
0.56
0.78
0.74
0.71
0.72
0.81
0.74
0.77
0.76
0.75
0.77
0.77
0.78
0.7
0.79
0.69
0.72
0.71
0.69
0.79
0.71
0.73
0.72
0.71
0.75
0.74
0.7
0.78
0.67
0.79
0.7
0.76
0.72
0.79
0.78
0.74
0.75
0.68
0.69
0.73
0.7
0.68
0.75
0.63
0.78
0.67
0.66
0.74
0.72
0.77
0.57
0.75
0.72
0.78
0.73
0.73
0.77
0.75
0.71
0.8
0.52
0.72
0.8
0.75
0.74
0.74
0.73
0.76
0.74
0.7
0.78
0.75
0.58
0.75
0.79
0.75
0.79
0.73
0.79
0.77
0.74
0.66
0.77
0.72
0.73
0.78
0.77
0.71
0.77
0.75
0.75
0.75
0.79
0.75
0.77
0.76
0.73
0.74
0.7
0.78
0.74
0.72
0.78
0.63
0.7
0.62
0.49
0.78
0.57
0.71
0.72
