Median normalized fluorescence intensity 398_bta_18_1008-completed.db cells with label 2
0.71
0.68
0.69
0.69
0.67
0.78
0.67
0.74
0.69
0.7
0.7
0.67
0.68
0.7
0.72
0.73
0.73
0.74
0.7
0.71
0.72
0.7
0.72
0.74
0.73
0.71
0.71
0.73
0.71
0.71
0.7
0.71
0.69
0.68
0.73
0.74
0.71
0.69
0.66
0.72
0.72
0.69
0.71
0.72
0.71
0.69
0.68
0.73
0.69
0.66
0.7
0.7
0.68
