Median normalized fluorescence intensity pg8_bta_15-completed.db cells with label 1
0.69
0.7
0.64
0.64
0.66
0.66
0.73
0.63
0.67
0.76
0.68
0.7
0.71
0.69
0.69
0.7
0.72
0.65
0.72
0.63
0.75
0.69
0.72
0.7
0.7
0.54
0.66
0.63
0.69
0.75
0.69
0.73
0.55
0.72
0.51
0.65
0.69
0.72
0.73
0.69
0.72
0.72
0.7
0.72
0.64
0.68
0.73
0.52
0.66
0.65
0.69
0.66
0.78
0.72
0.76
0.76
0.71
0.66
0.65
0.68
0.68
0.76
0.67
0.74
0.62
0.67
0.74
0.69
0.73
0.72
0.7
0.72
0.65
0.73
0.7
0.68
0.67
0.7
0.76
0.75
0.72
0.8
0.74
0.72
0.59
0.72
0.73
0.57
0.7
0.73
0.82
0.61
0.68
0.69
0.71
0.76
0.77
0.67
0.69
0.8
0.78
0.79
0.67
0.62
0.67
0.65
0.71
0.67
0.73
0.49
0.78
0.63
0.67
0.76
0.76
0.75
0.65
0.68
0.67
0.71
0.71
0.75
0.7
0.65
0.58
0.71
0.66
0.7
0.65
0.71
0.76
0.74
0.7
0.76
0.6
0.73
0.66
0.81
0.74
0.66
0.66
0.69
0.72
0.73
0.73
0.63
0.69
0.72
0.68
0.71
0.8
0.64
0.82
0.72
0.63
0.71
0.77
0.72
0.7
0.6
0.76
0.67
0.77
