Median normalized fluorescence intensity p7_bta_07001-completed.db cells with label 1
0.79
0.73
0.7
0.74
0.71
0.79
0.79
0.74
0.75
0.74
0.74
0.77
0.73
0.68
0.57
0.74
0.71
0.67
0.7
0.78
0.79
0.71
0.77
0.68
0.73
0.74
0.72
0.69
0.69
0.69
0.75
0.73
0.69
