Median normalized fluorescence intensity 398_bta_13_1111-completed.db cells with label 1
0.68
0.52
0.63
0.58
0.57
0.63
0.64
0.7
0.62
0.52
0.54
0.72
0.74
0.62
0.53
0.72
0.6
0.58
0.62
0.61
0.51
0.62
0.48
0.65
0.61
0.59
0.54
0.52
0.67
0.52
0.64
0.66
0.67
0.66
0.66
0.66
0.73
0.58
0.58
0.54
0.61
0.59
0.56
0.61
0.62
0.72
0.69
0.64
0.72
0.71
0.5
0.57
0.68
0.62
0.62
0.68
0.57
0.62
0.7
0.57
0.64
0.67
0.57
0.51
0.77
0.65
0.61
0.54
0.57
0.64
0.67
0.61
0.6
0.56
0.6
0.57
0.52
0.5
0.65
0.65
0.75
0.67
0.7
0.66
0.64
0.59
0.49
0.59
0.69
0.62
0.5
0.7
0.49
0.58
0.56
0.6
0.56
0.6
0.6
0.7
0.61
0.68
0.59
0.68
0.57
0.55
0.5
0.48
0.61
0.38
0.63
0.61
0.72
0.66
0.54
0.61
0.6
0.66
0.6
0.57
0.67
0.64
0.68
0.49
0.6
0.56
0.64
0.52
0.6
0.51
0.65
0.52
0.61
0.66
0.54
0.62
0.56
0.64
0.55
0.58
0.5
0.75
0.69
0.64
0.63
0.69
0.69
0.65
0.65
0.69
0.65
0.6
0.66
0.55
0.65
0.52
0.64
0.68
0.6
0.57
0.55
0.5
0.58
0.58
0.56
0.69
0.62
0.51
0.57
0.51
0.7
0.58
0.58
0.62
0.57
0.62
0.75
0.65
0.55
0.63
0.61
0.54
0.52
0.68
0.68
0.55
0.71
0.64
0.58
0.38
0.49
0.61
0.72
0.73
0.55
0.72
0.59
0.56
0.6
0.61
0.75
0.65
0.71
0.46
0.72
0.64
0.61
0.53
0.7
0.61
0.54
0.57
0.62
0.65
0.55
0.69
0.62
0.55
0.72
0.63
0.53
0.51
0.64
0.52
0.57
0.58
0.74
0.68
0.61
0.53
0.57
0.7
0.61
0.6
0.55
0.63
0.58
0.67
0.63
0.64
0.5
0.55
0.58
0.59
0.59
