Median normalized fluorescence intensity sk398_bta_20-completed.db cells with label 1
0.71
0.73
0.74
0.55
0.68
0.71
0.72
0.74
0.76
0.57
0.76
0.76
0.73
0.72
0.78
0.69
0.75
0.76
0.69
0.64
0.73
0.78
0.8
0.69
0.73
0.71
0.72
0.74
