Median normalized fluorescence intensity 398_bta_0exp001-completed.db cells with label 1
0.82
0.79
0.81
0.79
0.8
0.81
0.78
0.82
0.77
0.77
0.79
0.8
0.78
0.79
0.79
0.8
0.79
0.79
0.77
0.8
0.79
0.79
0.83
0.8
0.79
0.8
0.8
0.79
0.82
0.76
0.79
0.79
0.78
0.8
0.78
0.77
0.8
0.8
0.78
0.78
0.79
0.79
0.78
0.81
0.79
0.83
0.79
0.84
0.79
0.76
0.8
0.79
0.8
0.8
0.78
0.81
0.8
0.79
