Median normalized fluorescence intensity sk398_bta_c-completed.db cells with label 1
0.71
0.72
0.74
0.7
0.68
0.77
0.71
0.7
0.73
0.7
0.7
0.72
0.73
0.71
0.71
0.72
0.7
0.72
0.71
0.74
0.72
0.7
0.7
0.73
0.72
0.68
0.71
0.67
0.72
0.74
0.66
0.73
0.74
0.68
0.7
0.72
0.69
0.73
0.69
0.73
0.76
0.72
0.72
0.73
0.68
0.73
0.7
0.73
0.7
0.71
0.7
0.79
0.67
0.74
0.68
0.7
0.75
0.72
0.7
0.69
0.69
0.7
0.73
0.72
0.73
0.71
0.74
0.72
0.72
0.72
0.72
0.73
0.74
0.7
0.76
0.74
0.75
0.69
0.75
0.78
0.72
0.72
0.73
0.74
0.72
0.76
0.75
0.71
0.7
0.75
0.71
0.7
0.7
0.72
0.7
0.76
0.75
0.74
0.76
0.72
0.73
0.73
0.71
0.72
