Median normalized fluorescence intensity p7_bta_15_1111-completed.db cells with label 1
0.69
0.65
0.72
0.57
0.58
0.58
0.64
0.63
0.66
0.59
0.56
0.66
0.59
0.73
0.62
0.6
0.7
0.6
0.59
0.79
0.51
0.72
0.73
0.54
0.65
0.61
0.65
0.74
0.67
0.73
0.7
0.69
0.75
0.59
0.53
0.76
0.53
0.56
0.67
0.56
0.61
0.62
0.69
0.7
0.66
0.65
0.76
0.6
0.54
0.71
0.69
0.6
0.58
0.62
0.54
0.6
0.66
0.6
0.56
0.67
0.57
0.68
0.58
0.7
0.62
0.68
0.58
0.62
0.62
0.64
0.71
0.69
0.71
0.56
0.6
0.78
0.71
0.72
0.71
0.6
0.71
0.67
0.58
0.59
0.63
0.53
0.59
0.79
0.68
0.66
0.57
0.66
0.65
0.68
0.74
0.65
0.73
0.58
0.65
0.71
0.6
0.71
0.65
0.72
0.67
0.57
0.53
0.63
0.64
0.59
0.68
0.57
0.57
0.57
0.65
0.64
0.65
0.74
0.65
0.65
0.63
0.63
0.61
0.66
0.68
0.7
0.59
0.7
0.67
0.64
0.57
0.64
0.64
0.62
0.72
0.73
0.63
0.69
0.58
0.56
0.61
0.66
0.68
0.76
