Median normalized fluorescence intensity 398_bta_exp_1007-completed.db cells with label 1
0.79
0.75
0.76
0.81
0.76
0.75
0.74
0.8
0.81
0.74
0.79
0.79
0.78
0.77
0.74
0.75
0.74
0.79
0.78
0.8
0.77
0.77
0.76
0.78
0.79
0.75
0.76
0.75
0.76
0.8
0.78
0.83
0.76
0.8
0.76
0.78
0.79
0.74
0.77
0.78
0.77
0.77
0.77
0.79
0.77
0.79
0.74
0.76
0.74
0.77
0.8
0.77
0.78
0.79
0.81
0.8
0.77
0.8
0.79
0.78
0.76
0.77
0.77
0.77
0.77
0.76
0.79
0.76
0.79
0.78
0.76
0.77
0.77
0.81
0.77
0.82
0.82
0.79
0.77
0.78
0.8
0.79
0.79
0.79
0.77
0.76
0.78
0.75
0.79
0.79
0.75
0.77
0.78
0.76
0.78
0.8
0.77
0.78
0.81
0.77
0.76
0.75
0.79
0.75
0.8
0.77
0.78
0.73
0.75
0.79
0.77
0.77
0.76
0.77
0.79
0.78
0.81
0.75
0.78
0.8
