Median normalized fluorescence intensity p7_bta_18_1023-completed.db cells with label 2
0.68
0.69
0.68
0.69
0.65
0.72
0.68
0.67
0.7
0.7
0.71
0.64
0.71
0.7
0.67
0.8
0.71
0.72
0.73
0.68
0.72
0.71
0.71
0.69
0.71
0.71
0.68
0.71
0.67
0.78
0.67
0.71
0.72
