Median normalized fluorescence intensity p7_bta_1_1111-completed.db cells with label 1
0.82
0.78
0.77
0.62
0.71
0.66
0.77
0.78
0.75
0.64
0.8
0.46
0.8
0.79
0.71
0.76
0.48
0.78
0.82
0.82
0.81
0.81
0.74
0.76
0.54
0.63
0.71
0.69
0.8
0.78
0.65
0.78
0.8
0.8
0.81
0.77
0.78
0.75
0.77
0.75
0.76
0.59
0.54
0.84
0.5
0.78
0.77
0.82
0.79
0.79
0.5
0.4
0.75
0.59
0.57
0.78
0.47
0.8
0.67
0.77
0.78
0.79
0.77
0.8
0.6
0.67
0.71
0.76
0.74
0.76
0.66
0.8
0.8
0.78
0.82
0.8
0.77
0.74
0.77
0.77
0.84
0.78
0.77
0.78
0.78
0.73
0.61
0.58
0.78
0.6
0.81
0.83
0.74
0.77
0.78
0.71
0.71
0.59
0.8
0.79
0.66
0.77
0.78
0.79
0.74
0.81
0.61
0.62
0.78
0.73
0.75
0.78
0.8
0.77
0.8
0.62
0.43
0.75
0.74
0.73
0.65
0.76
0.69
0.81
0.63
0.8
0.75
0.83
0.74
0.68
0.74
0.77
0.84
0.65
0.73
0.83
0.8
0.81
0.8
0.55
0.78
0.82
0.82
0.79
0.75
0.77
0.59
0.78
0.8
0.76
0.75
0.8
0.77
0.73
0.71
0.78
0.78
0.79
0.77
0.7
0.65
0.79
0.78
0.77
0.81
0.78
0.8
0.77
0.81
0.58
0.73
0.75
0.71
